timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight
20.0,V2I,BS_1,vehicle_2,-75.77,105.77,552.05,True
20.0,V2V,flow_east.1,flow_west.0,-76.67,99.67,273.57,True
20.0,V2V,flow_east.1,flow_west.1,-91.70,114.70,1543.60,True
20.0,V2V,flow_east.1,vehicle_0,-88.63,111.63,1083.90,True
20.0,V2V,flow_east.1,vehicle_1,-87.36,110.36,937.30,True
20.0,V2V,flow_east.1,vehicle_2,-90.30,113.30,1314.13,True
20.0,V2V,flow_west.0,flow_east.1,-76.67,99.67,273.57,True
20.0,V2V,flow_west.0,flow_west.1,-90.00,113.00,1270.20,True
20.0,V2V,flow_west.0,vehicle_0,-86.10,109.10,810.60,True
20.0,V2V,flow_west.0,vehicle_1,-84.37,107.37,664.02,True
20.0,V2V,flow_west.0,vehicle_2,-88.27,111.27,1040.82,True
20.0,V2V,flow_west.1,flow_east.1,-91.70,114.70,1543.60,True
20.0,V2V,flow_west.1,flow_west.0,-90.00,113.00,1270.20,True
20.0,V2V,flow_west.1,vehicle_0,-81.18,104.18,459.79,True
20.0,V2V,flow_west.1,vehicle_1,-83.58,106.58,606.36,True
20.0,V2V,flow_west.1,vehicle_2,-75.15,98.15,229.68,True
20.0,V2V,vehicle_0,flow_east.1,-88.63,111.63,1083.90,True
20.0,V2V,vehicle_0,flow_west.0,-86.10,109.10,810.60,True
20.0,V2V,vehicle_0,flow_west.1,-81.18,104.18,459.79,True
20.0,V2V,vehicle_0,vehicle_1,-71.25,94.25,146.60,True
20.0,V2V,vehicle_0,vehicle_2,-75.17,98.17,230.23,True
20.0,V2V,vehicle_1,flow_east.1,-87.36,110.36,937.30,True
20.0,V2V,vehicle_1,flow_west.0,-84.37,107.37,664.02,True
20.0,V2V,vehicle_1,flow_west.1,-83.58,106.58,606.36,True
20.0,V2V,vehicle_1,vehicle_0,-71.25,94.25,146.60,True
20.0,V2V,vehicle_1,vehicle_2,-79.45,102.45,376.83,True
20.0,V2V,vehicle_2,flow_east.1,-90.30,113.30,1314.13,True
20.0,V2V,vehicle_2,flow_west.0,-88.27,111.27,1040.82,True
20.0,V2V,vehicle_2,flow_west.1,-75.15,98.15,229.68,True
20.0,V2V,vehicle_2,vehicle_0,-75.17,98.17,230.23,True
20.0,V2V,vehicle_2,vehicle_1,-79.45,102.45,376.83,True
21.0,V2I,BS_1,flow_east.1,-84.77,114.77,1557.05,True
21.0,V2I,BS_1,flow_west.0,-83.79,113.79,1389.82,True
21.0,V2I,BS_1,flow_west.1,-89.98,119.98,504.26,False
21.0,V2I,BS_1,vehicle_0,-77.01,107.01,637.19,True
21.0,V2I,BS_1,vehicle_1,-78.29,108.29,738.27,True
21.0,V2I,BS_1,vehicle_2,-75.49,105.49,535.03,True
21.0,V2V,flow_east.1,flow_west.0,-72.77,95.77,174.69,True
21.0,V2V,flow_east.1,flow_west.1,-91.13,114.13,1446.04,True
21.0,V2V,flow_east.1,vehicle_0,-88.70,111.70,1093.37,True
21.0,V2V,flow_east.1,vehicle_1,-87.39,110.39,939.93,True
21.0,V2V,flow_east.1,vehicle_2,-90.35,113.35,1321.80,True
21.0,V2V,flow_west.0,flow_east.1,-72.77,95.77,174.69,True
21.0,V2V,flow_west.0,flow_west.1,-90.01,113.01,1271.63,True
21.0,V2V,flow_west.0,vehicle_0,-87.19,110.19,919.06,True
21.0,V2V,flow_west.0,vehicle_1,-85.61,108.61,765.64,True
21.0,V2V,flow_west.0,vehicle_2,-89.12,112.12,1147.48,True
21.0,V2V,flow_west.1,flow_east.1,-91.13,114.13,1446.04,True
21.0,V2V,flow_west.1,flow_west.0,-90.01,113.01,1271.63,True
21.0,V2V,flow_west.1,vehicle_0,-78.88,101.88,352.79,True
21.0,V2V,flow_west.1,vehicle_1,-82.01,105.01,506.18,True
21.0,V2V,flow_west.1,vehicle_2,-69.84,92.84,124.66,True
21.0,V2V,vehicle_0,flow_east.1,-88.70,111.70,1093.37,True
21.0,V2V,vehicle_0,flow_west.0,-87.19,110.19,919.06,True
21.0,V2V,vehicle_0,flow_west.1,-78.88,101.88,352.79,True
21.0,V2V,vehicle_0,vehicle_1,-71.65,94.65,153.43,True
21.0,V2V,vehicle_0,vehicle_2,-75.10,98.10,228.43,True
21.0,V2V,vehicle_1,flow_east.1,-87.39,110.39,939.93,True
21.0,V2V,vehicle_1,flow_west.0,-85.61,108.61,765.64,True
21.0,V2V,vehicle_1,flow_west.1,-82.01,105.01,506.18,True
21.0,V2V,vehicle_1,vehicle_0,-71.65,94.65,153.43,True
21.0,V2V,vehicle_1,vehicle_2,-79.57,102.57,381.87,True
21.0,V2V,vehicle_2,flow_east.1,-90.35,113.35,1321.80,True
21.0,V2V,vehicle_2,flow_west.0,-89.12,112.12,1147.48,True
21.0,V2V,vehicle_2,flow_west.1,-69.84,92.84,124.66,True
21.0,V2V,vehicle_2,vehicle_0,-75.10,98.10,228.43,True
21.0,V2V,vehicle_2,vehicle_1,-79.57,102.57,381.87,True
22.0,V2I,BS_1,flow_east.1,-84.53,114.53,1514.65,True
22.0,V2I,BS_1,flow_west.0,-84.10,114.10,1440.57,True
22.0,V2I,BS_1,flow_west.1,-75.07,105.07,509.36,True
22.0,V2I,BS_1,vehicle_0,-76.58,106.58,606.39,True
22.0,V2I,BS_1,vehicle_1,-77.85,107.85,701.87,True
22.0,V2I,BS_1,vehicle_2,-75.30,105.30,522.91,True
22.0,V2V,flow_east.1,flow_west.0,-65.52,88.52,75.82,True
22.0,V2V,flow_east.1,flow_west.1,-90.53,113.53,1349.04,True
22.0,V2V,flow_east.1,vehicle_0,-88.78,111.78,1103.27,True
22.0,V2V,flow_east.1,vehicle_1,-87.45,110.45,946.97,True
22.0,V2V,flow_east.1,vehicle_2,-90.40,113.40,1329.60,True
22.0,V2V,flow_west.0,flow_east.1,-65.52,88.52,75.82,True
22.0,V2V,flow_west.0,flow_west.1,-90.03,113.03,1273.93,True
22.0,V2V,flow_west.0,vehicle_0,-88.17,111.17,1028.26,True
22.0,V2V,flow_west.0,vehicle_1,-86.74,109.74,871.97,True
22.0,V2V,flow_west.0,vehicle_2,-89.90,112.90,1254.58,True
22.0,V2V,flow_west.1,flow_east.1,-90.53,113.53,1349.04,True
22.0,V2V,flow_west.1,flow_west.0,-90.03,113.03,1273.93,True
22.0,V2V,flow_west.1,vehicle_0,-75.74,98.74,245.96,True
22.0,V2V,flow_west.1,vehicle_1,-80.02,103.02,402.17,True
22.0,V2V,flow_west.1,vehicle_2,-54.83,77.83,22.14,True
22.0,V2V,vehicle_0,flow_east.1,-88.78,111.78,1103.27,True
22.0,V2V,vehicle_0,flow_west.0,-88.17,111.17,1028.26,True
22.0,V2V,vehicle_0,flow_west.1,-75.74,98.74,245.96,True
22.0,V2V,vehicle_0,vehicle_1,-71.81,94.81,156.30,True
22.0,V2V,vehicle_0,vehicle_2,-75.02,98.02,226.33,True
22.0,V2V,vehicle_1,flow_east.1,-87.45,110.45,946.97,True
22.0,V2V,vehicle_1,flow_west.0,-86.74,109.74,871.97,True
22.0,V2V,vehicle_1,flow_west.1,-80.02,103.02,402.17,True
