timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode
11.0,V2V,vehicle_0,flow_west.0,-71.43,94.43,149.68,True,1,7.194489780036983e-11,7.194489780036983e-11,1.0,inf,inf,D
11.0,V2V,vehicle_0,vehicle_1,-69.24,92.24,116.37,True,1,1.1912420080273763e-10,1.1912420080273763e-10,1.0,inf,inf,D
11.0,V2V,vehicle_0,vehicle_2,-75.26,98.26,232.63,True,1,2.978516429429185e-11,2.978516429429185e-11,1.0,inf,inf,D
11.0,V2V,vehicle_1,flow_east.0,-95.49,118.49,2388.27,True,1,2.82487997491571e-13,2.82487997491571e-13,1.0,inf,inf,D
11.0,V2V,vehicle_1,flow_west.0,-76.42,99.42,265.88,True,1,2.280342072000416e-11,2.280342072000416e-11,1.0,inf,inf,D
11.0,V2V,vehicle_1,vehicle_0,-69.24,92.24,116.37,True,1,1.1912420080273763e-10,1.1912420080273763e-10,1.0,inf,inf,D
11.0,V2V,vehicle_1,vehicle_2,-78.78,101.78,349.0,True,1,1.3243415351946643e-11,1.3243415351946643e-11,1.0,inf,inf,D
11.0,V2V,vehicle_2,flow_east.0,-94.12,117.12,2039.27,True,1,3.872576449216165e-13,3.872576449216165e-13,1.0,inf,inf,D
11.0,V2V,vehicle_2,flow_west.0,-66.41,89.41,84.01,True,1,2.2855988033754298e-10,2.2855988033754298e-10,1.0,inf,inf,D
11.0,V2V,vehicle_2,vehicle_0,-75.26,98.26,232.63,True,1,2.978516429429185e-11,2.978516429429185e-11,1.0,inf,inf,D
11.0,V2V,vehicle_2,vehicle_1,-78.78,101.78,349.0,True,1,1.3243415351946643e-11,1.3243415351946643e-11,1.0,inf,inf,D
12.0,V2I,BS_1,flow_east.0,-84.46,114.46,1501.05,True,1,3.5809643710263623e-12,3.5809643710263623e-12,1.0,inf,inf,D
12.0,V2I,BS_1,flow_west.0,-80.58,110.58,960.7,True,1,8.749837752274364e-12,8.749837752274364e-12,1.0,inf,inf,D
12.0,V2I,BS_1,vehicle_0,-80.96,110.96,1003.25,True,1,8.016780633876789e-12,8.016780633876789e-12,1.0,inf,inf,D
12.0,V2I,BS_1,vehicle_1,-81.8,111.8,1105.9,True,1,6.6069344800759645e-12,6.6069344800759645e-12,1.0,inf,inf,D
12.0,V2I,BS_1,vehicle_2,-79.12,109.12,812.06,True,1,1.2246161992650464e-11,1.2246161992650464e-11,1.0,inf,inf,D
12.0,V2V,flow_east.0,flow_west.0,-94.89,117.89,2228.33,True,1,3.243396173493487e-13,3.243396173493487e-13,1.0,inf,inf,D
12.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2271.7,True,1,3.126079367123962e-13,3.126079367123962e-13,1.0,inf,inf,D
12.0,V2V,flow_east.0,vehicle_1,-95.49,118.49,2389.33,True,1,2.82487997491571e-13,2.82487997491571e-13,1.0,inf,inf,D
12.0,V2V,flow_east.0,vehicle_2,-94.11,117.11,2038.77,True,1,3.8815036599064864e-13,3.8815036599064864e-13,1.0,inf,inf,D
12.0,V2V,flow_west.0,flow_east.0,-94.89,117.89,2228.33,True,1,3.243396173493487e-13,3.243396173493487e-13,1.0,inf,inf,D
12.0,V2V,flow_west.0,vehicle_0,-60.93,83.93,44.69,True,1,8.072350302488382e-10,8.072350302488382e-10,1.0,inf,inf,D
12.0,V2V,flow_west.0,vehicle_1,-72.08,95.08,161.39,True,1,6.194410750767811e-11,6.194410750767811e-11,1.0,inf,inf,D
12.0,V2V,flow_west.0,vehicle_2,-73.49,96.49,189.83,True,1,4.477133041763632e-11,4.477133041763632e-11,1.0,inf,inf,D
12.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2271.7,True,1,3.126079367123962e-13,3.126079367123962e-13,1.0,inf,inf,D
12.0,V2V,vehicle_0,flow_west.0,-60.93,83.93,44.69,True,1,8.072350302488382e-10,8.072350302488382e-10,1.0,inf,inf,D
12.0,V2V,vehicle_0,vehicle_1,-69.34,92.34,117.63,True,1,1.1641260294104909e-10,1.1641260294104909e-10,1.0,inf,inf,D
12.0,V2V,vehicle_0,vehicle_2,-75.27,98.27,232.93,True,1,2.9716660317380315e-11,2.9716660317380315e-11,1.0,inf,inf,D
12.0,V2V,vehicle_1,flow_east.0,-95.49,118.49,2389.33,True,1,2.82487997491571e-13,2.82487997491571e-13,1.0,inf,inf,D
12.0,V2V,vehicle_1,flow_west.0,-72.08,95.08,161.39,True,1,6.194410750767811e-11,6.194410750767811e-11,1.0,inf,inf,D
12.0,V2V,vehicle_1,vehicle_0,-69.34,92.34,117.63,True,1,1.1641260294104909e-10,1.1641260294104909e-10,1.0,inf,inf,D
12.0,V2V,vehicle_1,vehicle_2,-78.82,101.82,350.57,True,1,1.3121998990192041e-11,1.3121998990192041e-11,1.0,inf,inf,D
12.0,V2V,vehicle_2,flow_east.0,-94.11,117.11,2038.77,True,1,3.8815036599064864e-13,3.8815036599064864e-13,1.0,inf,inf,D
12.0,V2V,vehicle_2,flow_west.0,-73.49,96.49,189.83,True,1,4.477133041763632e-11,4.477133041763632e-11,1.0,inf,inf,D
12.0,V2V,vehicle_2,vehicle_0,-75.27,98.27,232.93,True,1,2.9716660317380315e-11,2.9716660317380315e-11,1.0,inf,inf,D
12.0,V2V,vehicle_2,vehicle_1,-78.82,101.82,350.57,True,1,1.3121998990192041e-11,1.3121998990192041e-11,1.0,inf,inf,D
13.0,V2I,BS_1,flow_east.0,-84.74,114.74,1551.14,True,1,3.3573761424295455e-12,3.3573761424295455e-12,1.0,inf,inf,D
13.0,V2I,BS_1,flow_west.0,-80.98,110.98,1005.82,True,1,7.979946872679752e-12,7.979946872679752e-12,1.0,inf,inf,D
13.0,V2I,BS_1,vehicle_0,-80.54,110.54,956.07,True,1,8.830799004185622e-12,8.830799004185622e-12,1.0,inf,inf,D
13.0,V2I,BS_1,vehicle_1,-81.44,111.44,1061.16,True,1,7.1779429127136154e-12,7.1779429127136154e-12,1.0,inf,inf,D
13.0,V2I,BS_1,vehicle_2,-78.66,108.66,770.62,True,1,1.361444682465951e-11,1.361444682465951e-11,1.0,inf,inf,D
13.0,V2V,flow_east.0,flow_west.0,-95.29,118.29,2334.06,True,1,2.9580124665515466e-13,2.9580124665515466e-13,1.0,inf,inf,D
13.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2269.47,True,1,3.126079367123962e-13,3.126079367123962e-13,1.0,inf,inf,D
13.0,V2V,flow_east.0,vehicle_1,-95.5,118.5,2391.7,True,1,2.818382931264449e-13,2.818382931264449e-13,1.0,inf,inf,D
13.0,V2V,flow_east.0,vehicle_2,-94.11,117.11,2037.43,True,1,3.8815036599064864e-13,3.8815036599064864e-13,1.0,inf,inf,D
13.0,V2V,flow_west.0,flow_east.0,-95.29,118.29,2334.06,True,1,2.9580124665515466e-13,2.9580124665515466e-13,1.0,inf,inf,D
13.0,V2V,flow_west.0,vehicle_0,-64.24,87.24,65.44,True,1,3.767037989839093e-10,3.767037989839093e-10,1.0,inf,inf,D
13.0,V2V,flow_west.0,vehicle_1,-63.29,86.29,58.64,True,1,4.688133821452655e-10,4.688133821452655e-10,1.0,inf,inf,D
13.0,V2V,flow_west.0,vehicle_2,-77.38,100.38,296.79,True,1,1.8281002161427447e-11,1.8281002161427447e-11,1.0,inf,inf,D
13.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2269.47,True,1,3.126079367123962e-13,3.126079367123962e-13,1.0,inf,inf,D
13.0,V2V,vehicle_0,flow_west.0,-64.24,87.24,65.44,True,1,3.767037989839093e-10,3.767037989839093e-10,1.0,inf,inf,D
13.0,V2V,vehicle_0,vehicle_1,-69.67,92.67,122.23,True,1,1.0789467222298275e-10,1.0789467222298275e-10,1.0,inf,inf,D
